,ds,y
826,2009-04-16,15.376534
827,2009-04-17,15.62595
828,2009-04-20,15.256260999999999
829,2009-04-21,15.415789000000002
830,2009-04-22,15.384135
831,2009-04-23,15.876639
832,2009-04-24,15.686729000000001
833,2009-04-27,15.791808999999999
834,2009-04-28,15.686729000000001
835,2009-04-29,15.843719
836,2009-04-30,15.931079
837,2009-05-01,16.109594
838,2009-05-04,16.721113
839,2009-05-05,16.802143
840,2009-05-06,16.775560000000002
841,2009-05-07,16.340025
842,2009-05-08,16.356486999999998
843,2009-05-11,16.404594
844,2009-05-12,15.752563
845,2009-05-13,15.128385999999999
846,2009-05-14,15.566446
847,2009-05-15,15.499348999999999
848,2009-05-18,16.034903
849,2009-05-19,16.136185
850,2009-05-20,15.936145999999999
851,2009-05-21,15.722176999999999
852,2009-05-22,15.509476999999999
853,2009-05-26,16.557785
854,2009-05-27,16.84519
855,2009-05-28,17.100939
856,2009-05-29,17.194626
857,2009-06-01,17.64282
858,2009-06-02,17.660549
859,2009-06-03,17.84539
860,2009-06-04,18.198631
861,2009-06-05,18.316374
862,2009-06-08,18.212555
863,2009-06-09,18.069487
864,2009-06-10,17.756764999999998
865,2009-06-11,17.718782
866,2009-06-12,17.341492000000002
867,2009-06-15,17.230082
868,2009-06-16,17.262995
869,2009-06-17,17.165508
870,2009-06-18,17.203492999999998
871,2009-06-19,17.659285
872,2009-06-22,17.392139
873,2009-06-23,16.96673
874,2009-06-24,17.246536
875,2009-06-25,17.707392000000002
876,2009-06-26,18.034039
877,2009-06-29,17.974535
878,2009-06-30,18.032770000000003
879,2009-07-01,18.08342
880,2009-07-02,17.727648000000002
881,2009-07-06,17.549129
882,2009-07-07,17.142720999999998
883,2009-07-08,17.373142
884,2009-07-09,17.264259
885,2009-07-10,17.537737
886,2009-07-13,18.021378
887,2009-07-14,18.012512
888,2009-07-15,18.59618
889,2009-07-16,18.677205999999998
890,2009-07-17,19.212759
891,2009-07-20,19.359623000000003
892,2009-07-21,19.182369
893,2009-07-22,19.844528
894,2009-07-23,19.981268
895,2009-07-24,20.256012
896,2009-07-27,20.269935999999998
897,2009-07-28,20.257275
898,2009-07-29,20.261074
899,2009-07-30,20.610512
900,2009-07-31,20.686476000000003
