,x,y,yd1,yvals
2290,917193600,1.246297,-2.2048793240513342e-08,0.8216996304732334
2291,917280000,1.281906,-2.203688884210252e-08,0.8197951287843921
2292,917366400,1.2700360000000002,-2.2024953478395264e-08,0.8178916569730745
2293,917452800,1.293775,-2.2012987149392e-08,0.8159892177151278
2294,917539200,1.303666,-2.2000989855092306e-08,0.8140878136854894
2295,917798400,1.2957530000000002,-2.196481218041654e-08,0.8083898397221105
2296,917884800,1.240363,-2.1952691024931755e-08,0.8064926033605957
2297,917971200,1.272014,-2.1940538904151386e-08,0.8045964156048058
2298,918057600,1.198819,-2.1928355818074373e-08,0.8027012791297921
2299,918144000,1.149363,-2.1916141766701353e-08,0.8008071966112311
2300,918403200,1.194863,-2.187931382080476e-08,0.7951312995473927
2301,918489600,1.177058,-2.1866975908246862e-08,0.7932414596082822
2302,918576000,1.212667,-2.185460703039253e-08,0.791352687002302
2303,918662400,1.25421,-2.1842207187242405e-08,0.7894649844050718
2304,918748800,1.192885,-2.1829776378795634e-08,0.7875783544919841
2305,919094400,1.212667,-2.1779743492047204e-08,0.7800426151895863
2306,919180800,1.171123,-2.176715785711976e-08,0.7781613888282664
2307,919267200,1.139472,-2.175454125689567e-08,0.7762812512037272
2308,919353600,1.177058,-2.1741893691375786e-08,0.7744022049909063
2309,919612800,1.216624,-2.1703765203037968e-08,0.768771641578553
2310,919699200,1.216624,-2.1690993776333205e-08,0.7668969877676091
2311,919785600,1.184971,-2.167819138433201e-08,0.7650234387456862
2312,919872000,1.169145,-2.1665358027034808e-08,0.7631509971882906
2313,919958400,1.101885,-2.1652493704440962e-08,0.7612796657707008
2314,920217600,1.068255,-2.1613714944883165e-08,0.7556723591099512
2315,920304000,1.09595,-2.160072676110444e-08,0.7538054950052242
2316,920390400,1.082103,-2.158770761203013e-08,0.7519397544174922
2317,920476800,1.058364,-2.1574657497658968e-08,0.750075140021977
2318,920563200,1.05045,-2.1561576417991796e-08,0.7482116544938435
2319,920822400,1.088037,-2.1522147387213386e-08,0.7426279978686807
2320,920908800,1.080124,-2.1508942446361335e-08,0.740769054565078
2321,920995200,1.030668,-2.1495706540213276e-08,0.7389112535061031
2322,921081600,1.018799,-2.1482439668768786e-08,0.7370545973668641
2323,921168000,1.05045,-2.146914183202829e-08,0.7351990888230375
2324,921427200,1.0781459999999998,-2.1429062530029265e-08,0.7296394755179563
2325,921513600,1.123646,-2.1415640832103888e-08,0.7277885841099305
2326,921600000,1.0781459999999998,-2.140218816888208e-08,0.7259388536741653
2327,921686400,1.123646,-2.1388704540364476e-08,0.7240902868859393
2328,921772800,1.060342,-2.1375189946550016e-08,0.7222428864210997
2329,922032000,1.109798,-2.1334460373330803e-08,0.71670770972014
2330,922118400,1.044516,-2.1320821918331676e-08,0.7148650013022007
2331,922204800,1.066276,-2.1307152498036754e-08,0.7130234725844389
2332,922291200,1.070233,-2.1293452112445188e-08,0.7111831262423038
2333,922377600,1.052428,-2.1279720761557826e-08,0.7093439649511879
2334,922636800,1.119689,-2.1238340917117575e-08,0.703833618137935
2335,922723200,1.135516,-2.1224485705045335e-08,0.7019992238049326
2336,922809600,1.137493,-2.121059952767645e-08,0.7001660278999111
2337,922896000,1.14145,-2.119668238501177e-08,0.6983340330983765
2338,923241600,1.173102,-2.114070416139022e-08,0.6910181184343287
2339,923328000,1.202775,-2.1126632192244017e-08,0.6891921692809433
2340,923414400,1.17508,-2.111252925780202e-08,0.687367437283342
2341,923500800,1.167167,-2.109839535806359e-08,0.6855439251169742
2342,923587200,1.163211,-2.108423049302915e-08,0.6837216354572888
2343,923846400,1.147385,-2.1041550106147886e-08,0.6782621282718537
2344,923932800,1.09595,-2.102726137992857e-08,0.6764447553929358
2345,924019200,1.124633,-2.101294168841282e-08,0.6746286183972074
2346,924105600,1.131559,-2.0998591031601066e-08,0.6728137199609705
2347,924192000,1.121668,-2.098420940949288e-08,0.6710000627588215
2348,924451200,1.072211,-2.0940878751391423e-08,0.6655665653136111
2349,924537600,1.0781459999999998,-2.0926373268098357e-08,0.6637578998032723
2350,924624000,1.088037,-2.0911836819509495e-08,0.6619504889047221
2351,924710400,1.151342,-2.0897269405623778e-08,0.6601443352927276
2352,924796800,1.240363,-2.0882671026442476e-08,0.6583394416431361
2353,925056000,1.2957530000000002,-2.0838690097120195e-08,0.6529323472217925
2354,925142400,1.448078,-2.0823967856754015e-08,0.6511325201754516
2355,925228800,1.394666,-2.080921465109119e-08,0.6493339664680207
2356,925315200,1.361036,-2.079443048013236e-08,0.6475366887754603
2357,925401600,1.455992,-2.0779615343877097e-08,0.6457406897727651
2358,925660800,1.568752,-2.0734984143334837e-08,0.6403603916597262
2359,925747200,1.471818,-2.0720045145894696e-08,0.6385695341713244
2360,925833600,1.487643,-2.0705075183158758e-08,0.6367799687502043
2361,925920000,1.408514,-2.0690074255126177e-08,0.634991698071417
2362,926006400,1.452035,-2.06750423617978e-08,0.6332047248108665
2363,926265600,1.432253,-2.0629760890034504e-08,0.6278516162897745
2364,926352000,1.416427,-2.0614605135521248e-08,0.6260698594543896
2365,926438400,1.471818,-2.059941841571156e-08,0.6242894134139192
2366,926524800,1.461926,-2.0584200730605865e-08,0.6225102808440965
2367,926611200,1.404557,-2.0568952080203526e-08,0.6207324644198025
2368,926870400,1.404557,-2.0523020337219828e-08,0.6154069387746404
2369,926956800,1.432253,-2.0507647825633034e-08,0.6136344136869525
2370,927043200,1.430275,-2.049224434874981e-08,0.6118632181221528
2371,927129600,1.34521,-2.0476809906570576e-08,0.6100933547554632
2372,927216000,1.390709,-2.046134449909491e-08,0.608324826262276
2373,927475200,1.327406,-2.0414762484891023e-08,0.6030272767771407
